Year,Ã‰conomie,Secteur primaire,Secteur secondaire,Secteur tertiaire,MÃ©nages,Transport,Chauffage et autres
1990,39393,7736,19435,12222,23531,9389,14142
1991,40059,7772,19462,12825,24671,9647,15024
1992,39597,7677,18875,13045,24564,9667,14896
1993,38934,7608,18057,13269,23658,9472,14186
1994,38520,7555,18095,12870,22487,9181,13307
1995,39267,7581,18279,13407,23534,9293,14241
1996,40033,7511,18258,14263,24085,9327,14758
1997,39185,7239,18042,13904,23260,9591,13670
1998,40581,7242,18621,14718,23833,9740,14093
1999,40605,7162,18580,14863,23790,9969,13821
2000,41048,7085,18804,15158,22903,10174,12729
2001,42146,7167,19336,15644,23644,10250,13394
2002,40881,7105,19110,14665,23086,10212,12874
2003,41042,7004,19147,14891,23571,9977,13594
2004,41677,6952,19957,14767,23277,9702,13575
2005,42239,7027,20261,14952,23429,9608,13821
2006,43022,7076,20831,15115,22770,9438,13332
2007,42460,7122,20354,14984,21311,9443,11867
2008,43539,7196,20567,15776,22160,9429,12731
2009,42279,7155,19834,15289,21796,9319,12477
2010,43410,7122,20475,15812,22818,9316,13502
2011,42401,7090,19817,15495,20031,9174,10857
2012,43303,7119,19992,16193,21157,9236,11921
2013,43741,7093,20145,16503,22052,9310,12742
2014,42014,7233,19353,15429,19432,9456,9975
2015,41752,7202,18686,15864,20284,9620,10664
2016,42159,7225,18822,16113,20885,9768,11117
2017,42031,7155,18853,16023,20477,9820,10657
2018,41548,7052,18553,15943,19485,9698,9787
2019,41720,6984,18532,16204,19535,9698,9836
2020,36426,6948,18099,11379,17520,8444,9075
2021,37932,6984,18318,12630,18729,8617,10112
